"Andrzej Lepper","Grupa Mamutowej Skały","Mamutowa Skała",14,VI.1,pionowa,ubezpieczona
"Aneks","Wzgórze 502","Ogródek Altruisty",18,IV,połoga,ubezpieczona
"Aneta Krawczyk","Grupa Mamutowej Skały","Jaskinia Mamutowa",8,VI.1,mieszana,ubezpieczona
"Angielski lans","Biśnik","Biśnik",16,VI.2,pionowa,mieszana
"Angielski pacjent","Chochołowe Skały","Mur Ogrodników",15,VI.2+,pionowa,asekuracja własna
"Angielski prawiczek","Chochołowe Skały","Mur Ogrodników",14,VI.1+,pionowa,asekuracja własna
"Angielski prawniczek","Chochołowe Skały","Mur Ogrodników",12,IV+,pionowa,asekuracja własna
"Anhedonia","Łyse Skały","Łyse Baszty",18,VI.5,mieszana,ubezpieczona
"Ani be, ani me","Grupa Mamutowej Skały","Skała nad Grotą",10,VI.2/2+,pionowa,ubezpieczona
"Ani Duży nie powtórzy","Grupa nad Źródełkiem","Sępia Baszta",20,VI.4+,mieszana,ubezpieczona
"Ani Gniady nie da rady","Góra Zamkowa","Ratusz",14,VI.3+,mieszana,ubezpieczona
"Ani me, ani be, ani kukuryku","Dupa Słonia","Turnia Lipczyńskiej",18,VI.3,mieszana,ubezpieczona
"Ania Kropelka","Rejon Bońka","Pielgrzym",12,VI.1,mieszana,ubezpieczona
"Animality","Grupa Mamutowej Skały","Jaskinia Mamutowa",26,VI.5+,przewieszona,ubezpieczona
"Aniołek","Osiedle Wały","Skała na Studni",16,VI.1+,pionowa,ubezpieczona
"Aniścianka","Chochołowe Skały","Baraszki",12,V,pionowa,ubezpieczona
"Anja Orthodox","Grupa Zjazdowej Turni","Turnia z Krokiem",18,VI.1,pionowa,ubezpieczona
"Anka Parbat","Rejon Bońka","Pielgrzym",12,VI.1+,mieszana,ubezpieczona
"Anoreksja Boys Atack","Rejon Białego Psa","Biały Pies",12,VI.2,mieszana,ubezpieczona
"Anschluss","Rejon Faszystowskiego ogródka","Faszystowski ogródek",13,IV+,pionowa,ubezpieczona
"Antlantyda","Zimny Dół","Łysina",20,VI.2,pionowa,ubezpieczona
"Antypapież ziemi kaliskiej","Rybna Skała","Rybna Skała",12,VI+/1,pionowa,asekuracja własna
"Anusia","Wielka Wronia Baszta","Wielka Wronia Baszta",13,IV+,połoga,ubezpieczona
"Apacz","Rejon Białego Psa","Kopciówki",15,VI.1+,pionowa,ubezpieczona
"Aphis","Rejon Studniska","Studnisko",17,VI.2,mieszana,ubezpieczona
"Apicat","Dolina Wrzosy","Ołtarz",28,VI.4,pionowa,ubezpieczona
"Aplauz","Wąwóz Ostryszni","Organy",16,IV,pionowa,ubezpieczona
"Apogeum Trzyciąż","Goncerzyca","WRX",15,VI.5,pionowa,ubezpieczona
"Apoteoza wytrysku","Dupa Słonia","Turnia Lipczyńskiej",16,VI.4,mieszana,ubezpieczona
"Aquafobia","Dolina Brzoskwinki","Wodna Skała",12,VI.3+,pionowa,ubezpieczona
"Arachnofobia","Okręt","Okręt",14,VI.8,pionowa,ubezpieczona
"Archaiczne techniki ekstazy","Góra Zamkowa","Mała Cima",20,VI.6,pionowa,ubezpieczona
"Archeo","Popiielowe SER","Popielowa SER",17,IV+,połoga,ubezpieczona
"Archetyp cienia","Grupa Mamutowej Skały","Jaskinia Mamutowa",15,VI.4+,mieszana,ubezpieczona
"Archibald","Witkowe Skały","Muminek",9,VI+,pionowa,ubezpieczona
"Archiwum Okapu","Rejon Dziewicy","Biblioteka",15,VI,pionowa,ubezpieczona
"Arena","Rejon Skały z Grotą","Skrzypce",14,VI.3,mieszana,ubezpieczona
"Arena Łatwiej","Rejon Dziewicy","Biblioteka",16,V+,pionowa,ubezpieczona
"Aria dla atlety","Wąwóz Przecówki","Brandysowa",26,VI.5,mieszana,ubezpieczona
"AriaDNA","Dolina Brzoskwinki","Labirynt",12,VI.2+,mieszana,ubezpieczona
"Arktyczny Wiatr Ze Wschodu","Rejon Słonecznej","Flaszka",20,VI.4,pionowa,ubezpieczona
"Armbulatorium","Zimny Dół","Sępia Czułowska",15,VI.4,mieszana,ubezpieczona
"Ars poetica","Kamienie Żerkowickie","Kamienie Żerkowickie",14,VI.1,pionowa,ubezpieczona
"Assasin","Dolina Wrzosy","Ołtarz",20,VI.4+,mieszana,ubezpieczona
"Asteriks","Grupa Obelisku","Asteriks",10,V,pionowa,ubezpieczona
"Atak bezzębnego szkraba","Rejon Dziewicy","Dziewica",15,VI.7+,przewieszona,ubezpieczona
"Atak Frajerstwa","Rejon Ostatniej","Złomowiskowa",12,VI.4,pionowa,asekuracja własna
"Atak Klaunów","Rabsztyn","Przedmurze",14,VI.3,pionowa,ubezpieczona
"Atak Skunksa (lewy)","Rejon Zamkowej","Knur",20,V,pionowa,asekuracja własna
"Atak Skunksa (prawy)","Rejon Zamkowej","Knur",20,V,pionowa,asekuracja własna
"Ataraksja","Dolina Wrzosy","Wolfgang",16,VI.5+,pionowa,ubezpieczona
"Atomowe Zapałki","Osiedle Wały","Osiedle Wały",15,VI+,pionowa,ubezpieczona
"Atomowe zapałki","Osiedle Wały","Skała na Studni",16,VI+,pionowa,ubezpieczona
"Atrakcyjny Kazimierz","Zamarła Turnia","Zamarła Turnia",20,VI.1+,mieszana,ubezpieczona
"Aurora","Rejon Zamkowej","Knur",19,VI+,pionowa,ubezpieczona
"Aurora Borealis","Słoneczne Skały","Ostatnia",16,VI.2+,pionowa,ubezpieczona
"Australopitek","Tomaszówki","Prawe Tomaszówki",18,IV+,pionowa,asekuracja własna
"Autofellatio ekspert","Łyse Skały","Łyse Baszty",18,VI.4+,mieszana,ubezpieczona
"Autoratownicza","Słoneczne Skały","Wschodni Mur",15,III,pionowa,asekuracja własna
"Ave Papa","Jaskinia Jasna w Strzegowej","Jaskinia Jasna w Strzegowej",16,VI.1,pionowa,ubezpieczona
"Awantura o Baśkę","Brodło","Brodło",22,VI.3,połoga,ubezpieczona
"Awimatan","Dolina Brzoskwinki","Położna",15,IV,połoga,ubezpieczona
"Awrukat","Dolina Wrzosy","Ołtarz",16,VI.5,pionowa,ubezpieczona
"Aż cały drżę","Cmentarzysko","Lewe Cmentarzysko",18,VI.1,pionowa,asekuracja własna
"Aż Wilki Przemienię W Owce","Skały Pustelnika","Skały Pustelnika",17,VI.1,pionowa,ubezpieczona
"Azbest","Rejon Skały z Grotą","Skała Z Grotą",12,IV+,pionowa,ubezpieczona
"Azja","Skały Na Wzgórzu","Skały Na Wzgórzu",15,VI+,pionowa,ubezpieczona
"Azja","Polnik","Polnik",16,VI+/1,pionowa,ubezpieczona
"Azja Tuchajbejowicz","Zegarowe Skały","Jaskinia Jasna",12,VI.1,pionowa,ubezpieczona
"Azymut ring","Nowy Kamieniołom","Wielka",30,V,pionowa,asekuracja własna
"Ałlła Puchaczowa","Straszykowe Skały","Skrzynia",12,VI,pionowa,ubezpieczona
"AłłałałłA","Słoneczne Skały","Przełaz",13,VI,pionowa,ubezpieczona
"Baba Jaga","Zakrzówek","Baba Jaga",30,VI.3,pionowa,ubezpieczona
"Babcia Gienia","Góra Kołoczek","Lalka",22,VI-,pionowa,ubezpieczona
"Babie Lato","Grupa nad Źródełkiem","Sępia Baszta",18,V,pionowa,ubezpieczona
"Babilon centrale","Zbędowa Skała","Zbędowa Skała",15,V+,pionowa,asekuracja własna
"Babka od tyłu","Zubowe Skały","Babka",10,V+,pionowa,asekuracja własna
"Babuśka","Baba","Baba",15,VI+,pionowa,ubezpieczona
"Baby Doll","Witkowe Skały","Muminek",8,V,pionowa,ubezpieczona
"Baby Sitting","Zakrzówek","Freney",20,VI.4/4+,pionowa,ubezpieczona
"Baby to Chuje","Rejon Białego Psa","Biały Pies",12,VI.1+,pionowa,ubezpieczona
"Baby zombie","Dupa Słonia","Turnia Lipczyńskiej",20,VI,pionowa,ubezpieczona
"Baby zombie","Dupa Słonia","Murarze i Płaska Turniczka",20,VI,pionowa,ubezpieczona
"Bach, Bach Jan Sebastian","Wąwóz Ostryszni","Organy",18,VI.1,pionowa,ubezpieczona
"Bad Brains","Dolina Wrzosy","Wolfgang",16,VI.4,pionowa,ubezpieczona
"Bader-Meinhoff","Rejon Turni Lechfora","Turnia Kursantów",12,VI.1,pionowa,ubezpieczona
"Badyl","Rejon Turni Lechfora","Turnia Kursantów",22,IV,połoga,asekuracja własna
"Bagażnik","Rejon Bońka","Taksówka",5,VI.2,pionowa,asekuracja własna
"Bagirata","Zielona Góra","Pod Kowadle",8,VI+,pionowa,mieszana
"Baja Laja","Góry Towarne Duże","Płyta",8,VI.1,pionowa,ubezpieczona
"Bajadera","Witkowe Skały","Wielka Witkowa",12,VI.2/2+,pionowa,ubezpieczona
"Bajadera","Witkowe Skały","Muminek",10,VI.2,pionowa,ubezpieczona
"Bajerfull","Jastrzębnik","Wieżyca",25,VI.3+/4,pionowa,ubezpieczona
"Bajka o Naleśniku","Łyse Skały","Leśna Turnia (Leśna Skała)",15,VI.2+,pionowa,ubezpieczona
"Bajka z mchu i paproci","Fiala","Malinowy Filar",20,VI.3+,mieszana,ubezpieczona
"Bajki dobranocki","Miłosna","Miłosna (Skała Miłości)",15,VI.1,pionowa,ubezpieczona
"Bąkołap","Straszykowe Skały","Fircyk i Felin",10,VI.1+,mieszana,ubezpieczona
"Bal samców","Góra Zamkowa","Obeliski",14,VI.1+,pionowa,ubezpieczona
"Bal sztywniaków","Brzuchacka Skała","Brzuchacka Skała",20,VI.4,mieszana,ubezpieczona
"Balanga Wolfganga","Góra Zamkowa","Ratusz",18,VI.4,mieszana,ubezpieczona
"Balans Jajami","Zielona Góra","Pod Kowadle",8,VI.1+,pionowa,ubezpieczona
"Bald","Góra Biakło","Okręt",8,VI,pionowa,asekuracja własna
"Balder Jacka","Niegowonice","Kromłowiec",3,IV+,pionowa,boulder
"Balkonik","Zubowe Skały","Boczny Mur i Zielona Ściana",12,VI+,mieszana,ubezpieczona
"Ballada o Marsjanach","Zielona Góra","Płetwa",10,VI.3,mieszana,ubezpieczona
"Ballada o torreadorze","Migdałkowa","Migdałkowa",15,VI.1,mieszana,ubezpieczona
"Ballada Wolnej Drogi","Grochowiec Wielki","Słoń",18,VI.3+,pionowa,ubezpieczona
"Baltazar Faquet","Witkowe Skały","Witkowy Filar",12,VI.1+,pionowa,ubezpieczona
"Balustrada","Pazurek","Pazurek - Ściana Główna i Wielki Blok",20,VI.1+,mieszana,ubezpieczona
"Bambo 2","Biblioteka","Kazarma",14,VI.3+,przewieszona,ubezpieczona
"Bambółka","Góra Biakło","Biakło",15,VI.1,pionowa,ubezpieczona
"Banan","Wielka Wronia Baszta","Wielka Wronia Baszta",30,V,pionowa,asekuracja własna
"Bandyci czasu","Grupa Mamutowej Skały","Czarna Skałka",14,VI.4+,pionowa,ubezpieczona
"Bania Osia","Słoneczne Skały","Przełaz",13,VI+/1,mieszana,ubezpieczona
"Banjo","Grochowiec Wielki","Słoń",17,VI.2+,pionowa,ubezpieczona
"Baraba finito","Grupa Mamutowej Skały","Mamutowa Skała",16,VI.4,mieszana,ubezpieczona
"Baranica","Żytnie Skały","Żytnie Skały",11,V+,pionowa,asekuracja własna
"Baranie jaja cztery","Udórz","Udórz",14,IV,pionowa,asekuracja własna
"Baraszki","Chochołowe Skały","Baraszki",12,IV+,pionowa,ubezpieczona
"Barbórka","Wzgórze 502","Patelnia",14,IV,połoga,ubezpieczona
"Barbórka","Kula","Kula",30,VI,mieszana,ubezpieczona
"Barbórka","Siedlec","Panda",16,V+,połoga,ubezpieczona
"Barcelona","Witkowe Skały","Ptasia Turnia",12,VI,pionowa,ubezpieczona
"Bardziej Lewa Kazalnica","Grupa Zaklętego Muru","Mur Skwirczyńskiego",12,IV+,pionowa,ubezpieczona
"Bardziej w prawo","Grupa Rogożowej Skały","Bulwa",10,VI.1,mieszana,ubezpieczona
"Bardzo krwawe purée","Zamkowe Skały","Zamkowe Skały",20,VI.1,pionowa,ubezpieczona
"Bardzo Lewa Depresja","Skały Przy Zamku","Studnisko Przy Zamku",12,VI,pionowa,asekuracja własna
"Bardzo prawe Lotniki","Lotniki","Drugi Filarek",14,VI+,pionowa,ubezpieczona
"Bariera wdzięku","Zegarowe Skały","Jaskinia Jasna",12,VI.6+,mieszana,ubezpieczona
"Barkarola","Wąwóz Ostryszni","Kowadło i Fortepian",12,IV-,pionowa,ubezpieczona
"Baron Cygański","Dolina Brzoskwinki","Cygańska",20,VI.3+/4,pionowa,ubezpieczona
